group,run_dir,seed,n_params,mean_iter_time_s,total_time_s,peak_rss_mb,loss_final,L2_u_global_pct,L2_f_global_pct,L2_u_t0_pct,L2_u_boundary_pct,L2_u_interior_pct
amp_cascade,results/kg_dv_amplitude_cascade_seed6/2026-09-02_08-15-19-721495,6,771,0.5646618706769232,11293.9532995224,680.765625,0.6654551029205322,9.38224270939827,3.188307210803032,2.9540568590164185,6.509920954704285,9.446658194065094
wut1,results/kg_dv_cascade_wut1_seed1/2026-09-02_02-26-09-225618,1,771,0.2308103198180545,4616.570703744888,481.2109375,0.15054833889007568,5.305255949497223,1.1604455299675465,1.7705706879496574,1.9792241975665092,5.3655847907066345
wut1,results/kg_dv_cascade_wut1_seed2/2026-09-02_02-26-09-254368,2,771,0.2289128983962103,4578.61994934082,480.4375,0.5950321555137634,4.582756757736206,3.1748581677675247,1.5231817960739136,3.381539508700371,4.61040735244751
wut1,results/kg_dv_cascade_wut1_seed3/2026-09-02_02-26-09-244660,3,771,0.22451323132800485,4490.629572153091,476.484375,0.42428871989250183,6.178740039467812,2.5486260652542114,1.9374486058950424,3.759448602795601,6.230221688747406
wut1,results/kg_dv_cascade_wut1_seed4/2026-09-02_02-26-09-248830,4,771,0.2275957259797788,4552.27304649353,480.69140625,0.15793681144714355,9.976067394018173,1.464473269879818,2.993222326040268,3.642146661877632,10.090281814336777
wut1,results/kg_dv_cascade_wut1_seed5/2026-09-02_02-26-09-238643,5,771,0.2284549110088477,4569.459381580353,484.20703125,0.14493796229362488,4.958699271082878,1.211558748036623,2.713285945355892,2.5385424494743347,5.007075518369675
wut10,results/kg_dv_cascade_wut10_seed1/2026-09-02_03-43-25-204182,1,771,0.23031727898020524,4606.714686870575,482.484375,1.2377636432647705,8.361823856830597,1.2757880613207817,2.882097102701664,4.442693293094635,8.441177755594254
wut10,results/kg_dv_cascade_wut10_seed2/2026-09-02_03-43-25-196651,2,771,0.22583040153293665,4516.964097738266,483.640625,1.5296682119369507,10.124077647924423,4.235574975609779,2.8866251930594444,4.434703662991524,10.232193022966385
wut10,results/kg_dv_cascade_wut10_seed3/2026-09-02_03-43-25-194707,3,771,0.2285072510757383,4570.505494117737,478.25390625,0.6860834360122681,11.126545816659927,2.338297851383686,4.000934213399887,5.318041145801544,11.240016669034958
wut10,results/kg_dv_cascade_wut10_seed4/2026-09-02_03-43-25-184570,4,771,0.22958893659833673,4592.148807525635,486.453125,0.4381761848926544,6.996920704841614,2.23988089710474,1.5572883188724518,3.679434582591057,7.0638507604599
wut10,results/kg_dv_cascade_wut10_seed5/2026-09-02_03-43-25-183789,5,771,0.22517837910214683,4503.924589633942,480.87109375,0.22074808180332184,7.856583595275879,1.453533861786127,2.6190603151917458,3.989383578300476,7.933669537305832
pinn,results/kg_classical_seed1/2026-08-31_15-38-30-953824,1,2751,0.004936962083844034,98.91173481941223,337.1171875,0.21360576152801514,5.721272900700569,2.0962895825505257,1.138838566839695,2.422371506690979,5.783319473266602
pinn,results/kg_classical_seed10/2026-08-31_15-40-09-982516,10,2751,0.0029900807542622126,59.913145303726196,338.71875,0.3508961796760559,7.943335920572281,1.3813464902341366,1.1567157693207264,1.692567765712738,8.04344192147255
pinn,results/kg_classical_seed2/2026-08-31_15-38-30-998121,2,2751,0.004765279668415904,95.48905873298645,338.10546875,0.28444963693618774,3.5261504352092743,2.505669742822647,1.1163439601659775,2.5305330753326416,3.548797219991684
pinn,results/kg_classical_seed3/2026-08-31_15-38-30-953470,3,2751,0.004890764582414973,97.98147320747375,338.33203125,0.2853146493434906,2.9751449823379517,1.6468726098537445,1.3023789040744305,1.7596522346138954,3.0007336288690567
pinn,results/kg_classical_seed4/2026-08-31_15-38-30-953345,4,2751,0.0047925561996396355,96.03771162033081,337.609375,0.43487268686294556,3.156372904777527,2.816154807806015,1.4802023768424988,2.581886760890484,3.1702175736427307
pinn,results/kg_classical_seed5/2026-08-31_15-38-30-953428,5,2751,0.004896006291334198,98.08926749229431,338.5703125,0.4688018262386322,3.9932411164045334,1.2439028359949589,0.749629270285368,1.7208795994520187,4.036208614706993
pinn,results/kg_classical_seed6/2026-08-31_15-38-30-971969,6,2751,0.004899826185589921,98.17204761505127,337.3125,0.1746700555086136,4.3321046978235245,3.3713623881340027,0.8961057290434837,2.785828150808811,4.365726932883263
pinn,results/kg_classical_seed7/2026-08-31_15-38-30-985856,7,2751,0.004882147305685152,97.80894017219543,339.84375,0.11541944742202759,4.024916514754295,1.7918368801474571,1.7028391361236572,1.903119683265686,4.066221788525581
pinn,results/kg_classical_seed8/2026-08-31_15-38-30-970990,8,2751,0.005077259616267824,101.72246026992798,338.19921875,0.26378607749938965,5.689787492156029,1.8749037757515907,1.5556390397250652,2.5101391598582268,5.7503435760736465
pinn,results/kg_classical_seed9/2026-08-31_15-40-09-557742,9,2751,0.0029649667362604084,59.40987586975098,339.484375,0.29408276081085205,3.267328441143036,1.997119002044201,1.1888831853866577,1.7117539420723915,3.2986707985401154
